clf,year,interval,log_loss,log_skill_score,roc_auc
lren,2023,0,0.10785357821675443,0.07079066945205204,0.7696757685952106
lren,2023,0,0.10781835777046504,0.0710941101710274,0.770017522908419
lren,2023,0,0.10782241992187659,0.07105911282503174,0.7699768195857221
lren,2023,0,0.10780381928777923,0.0712193660409487,0.7701158252726674
lren,2023,0,0.107831995011401,0.07097661892289131,0.7699583878924254
lren,2023,90,0.10763433600613063,0.07267954426853851,0.7700915056773455
lren,2023,90,0.10761173251321589,0.07287428399685003,0.7702374232492772
lren,2023,90,0.10757295582625184,0.07320836340274894,0.7704550196284734
lren,2023,90,0.10764377217097662,0.07259824726787845,0.7700285307252488
lren,2023,90,0.10764830976817377,0.0725591537327025,0.7699906433556946
lren,2023,180,0.10752834636498311,0.07359269490409537,0.7700717940053476
lren,2023,180,0.10754901772000221,0.07341460145298873,0.7699097487017815
lren,2023,180,0.10753647923956572,0.07352262636236229,0.7699949952832784
lren,2023,180,0.10755850037365246,0.07333290392940306,0.7698106783503124
lren,2023,180,0.10753765257041689,0.07351251756492827,0.7699967872534602
lren,2023,360,0.10745507984437631,0.07422392045720394,0.7694161889146165
lren,2023,360,0.10742013473635631,0.07452498900741877,0.7688560702349913
lren,2023,360,0.10745982552169209,0.07418303421388694,0.7691916806504341
lren,2023,360,0.10745907316269987,0.07418951614065328,0.7691653130891902
lren,2023,360,0.10745397374507659,0.07423345002318416,0.7688555582435108
lren,2024,0,0.1178990196954468,0.06796365017697348,0.7567556779129282
lren,2024,0,0.11789765175900155,0.06797446423203957,0.7566820805354896
lren,2024,0,0.11785962610432806,0.06827507141667155,0.7563390419118353
lren,2024,0,0.11788515171996286,0.06807328176918581,0.7565398754333202
lren,2024,0,0.11787661603091257,0.06814075962002986,0.7564088970497431
lren,2024,90,0.11777414929735389,0.06895079791017866,0.756756925326105
lren,2024,90,0.11781098043765116,0.06865963381355455,0.7569328105840514
lren,2024,90,0.1177756753689807,0.06893873373668258,0.7566047409185203
lren,2024,90,0.11778295659513398,0.06888117288958084,0.7568080692663588
lren,2024,90,0.11777514960533464,0.06894289009719179,0.7567432037811588
lren,2024,180,0.11775469696318665,0.06910457597024733,0.7565311435410816
lren,2024,180,0.11778038038234455,0.0689015388262173,0.7567407089548049
lren,2024,180,0.11776286741486962,0.06903998545895496,0.7566434107270049
lren,2024,180,0.11778457079841823,0.068868412001994,0.7567993373741204
lren,2024,180,0.11778361320518246,0.06887598213876345,0.7567394615416281
lren,2024,360,0.11787692610292855,0.0681383083834487,0.7555955836583884
lren,2024,360,0.11791040651115793,0.06787363309134442,0.7556492224249961
lren,2024,360,0.11792730731302276,0.06774002585932615,0.7556305112273423
lren,2024,360,0.11796283689614806,0.06745915106450273,0.7556492224249963
lren,2024,360,0.11782471411487556,0.06855106389988652,0.7554533785562191
svm,2023,0,0.10999727951165034,0.052321674004151664,0.7334290757401797
svm,2023,0,0.10927979427078115,0.05850314699159609,0.7515594620505515
svm,2023,0,0.1088983658093151,0.06178933268140707,0.7530186377698673
svm,2023,0,0.10937135450460311,0.05771431249040282,0.7375472792132739
svm,2023,0,0.11073668610114816,0.045951338282427034,0.7196777525621973
svm,2023,90,0.1094229280628008,0.05726998201681821,0.7486928217514459
svm,2023,90,0.10936309118407435,0.05778550488534784,0.7442436157862333
svm,2023,90,0.11049570221024028,0.04802752790585629,0.7163741275345178
svm,2023,90,0.10893359805328894,0.06148579031982826,0.7431420661160197
svm,2023,90,0.10972191302070151,0.054694085906848655,0.7551884576640645
svm,2023,180,0.1082642674557974,0.06725238839375058,0.7519972147663464
svm,2023,180,0.11015868688899415,0.05093107349254211,0.714471823188862
svm,2023,180,0.10704687619204686,0.07774078701629006,0.766398767124515
svm,2023,180,0.11115129614278829,0.042379277664682635,0.7111822779268954
svm,2023,180,0.11096019775284297,0.04402568022198139,0.7348854355063532
svm,2023,360,0.10881102780448552,0.06254179069291577,0.7530731648625366
svm,2023,360,0.11243828109507152,0.031291296665730384,0.7249748164190547
svm,2023,360,0.1105309507412791,0.047723845223548333,0.72840669531259
svm,2023,360,0.11064939553768614,0.04670338756422909,0.7123680501956446
svm,2023,360,0.110259228447038,0.050064860656706234,0.7110860235285684
